dataset,target_bits,method_type,xai,acc,fidelity,alloc
CIFAR-10,5,EAQ,Saliency,0.8037,0.6064817995719278,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,EAQ,IG,0.8037,0.811262256758339,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,EAQ,GradCAM,0.8037,0.9568837981245213,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,EAQ,Occlusion,0.8037,0.9209002553889137,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,Uniform,Saliency,0.79,0.5703088697250007,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,Uniform,IG,0.79,0.7633773396861503,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,Uniform,GradCAM,0.79,0.9389965249230883,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,5,Uniform,Occlusion,0.79,0.8767410931117591,"[5, 5, 5, 6, 6, 5, 6, 5, 3, 4]"
CIFAR-10,4,EAQ,Saliency,0.7426,0.3948890713037941,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,EAQ,IG,0.7426,0.6064744592550766,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,EAQ,GradCAM,0.7426,0.8241417211372698,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,EAQ,Occlusion,0.7426,0.7138322006743895,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,Uniform,Saliency,0.7207,0.3690868643056105,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,Uniform,IG,0.7207,0.5786201428304852,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,Uniform,GradCAM,0.7207,0.8192891421432739,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,4,Uniform,Occlusion,0.7207,0.7118053558686668,"[4, 4, 4, 5, 5, 4, 5, 4, 2, 3]"
CIFAR-10,3,EAQ,Saliency,0.4528,0.22183824542855174,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,EAQ,IG,0.4528,0.39273629898705736,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,EAQ,GradCAM,0.4528,0.4724917064169237,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,EAQ,Occlusion,0.4528,0.33099740754519935,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,Uniform,Saliency,0.2506,0.21577122843686716,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,Uniform,IG,0.2506,0.38221053902843294,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,Uniform,GradCAM,0.2506,0.41359736723056567,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
CIFAR-10,3,Uniform,Occlusion,0.2506,0.236594703065022,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 2]"
