dataset,scheme,kind,level,method,acc,spearman,pearson,ssim,deletion
ImageNette,baseline,baseline,32.0,Saliency,0.9594904458598726,1.0,1.0,1.0,0.38376802401778304
ImageNette,baseline,baseline,32.0,IG,0.9594904458598726,1.0,1.0,1.0,0.3366420644296039
ImageNette,baseline,baseline,32.0,GradCAM,0.9594904458598726,1.0,1.0,1.0,0.4135122556540361
ImageNette,baseline,baseline,32.0,Occlusion,0.9594904458598726,1.0,1.0,1.0,0.4582163990782863
ImageNette,quant-8,quant,8.0,Saliency,0.9587261146496815,0.6628975104935365,0.7975047926108042,0.7994073500235875,0.38699232516083826
ImageNette,quant-8,quant,8.0,IG,0.9587261146496815,0.831760153064627,0.9185536136229833,0.9185180395841599,0.3395446564235881
ImageNette,quant-8,quant,8.0,GradCAM,0.9587261146496815,0.9982842170845352,0.9987892538309098,0.9985186398029328,0.40502506752753686
ImageNette,quant-8,quant,8.0,Occlusion,0.9587261146496815,0.8130429832386288,0.850793007016182,0.9410214998022032,0.4633293662021745
ImageNette,quant-6,quant,6.0,Saliency,0.9561783439490446,0.380172239049496,0.5113544046878815,0.5285700793067615,0.3801941593595489
ImageNette,quant-6,quant,6.0,IG,0.9561783439490446,0.5690814687337158,0.6783512820800145,0.6959845672051111,0.3366811742102028
ImageNette,quant-6,quant,6.0,GradCAM,0.9561783439490446,0.984153639697349,0.985643188158671,0.9839256346225739,0.4055631911443551
ImageNette,quant-6,quant,6.0,Occlusion,0.9561783439490446,0.7127088121913121,0.7264755606651306,0.7410954164166469,0.4257245877815293
ImageNette,quant-5,quant,5.0,Saliency,0.8715923566878981,0.22301513522789074,0.28876638809839883,0.3254145815968513,0.24631132455258978
ImageNette,quant-5,quant,5.0,IG,0.8715923566878981,0.38838539250081033,0.4090134970843792,0.4336950697004795,0.22498632461666457
ImageNette,quant-5,quant,5.0,GradCAM,0.8715923566878981,0.838699809731249,0.8509923284252484,0.8368597656488419,0.3324277194323555
ImageNette,quant-5,quant,5.0,Occlusion,0.8715923566878981,0.46342622814992446,0.41541315355959035,0.36650594415453575,0.3056560590647798
ImageNette,quant-4,quant,4.0,Saliency,0.22980891719745222,0.11202628738341022,0.13040557757485657,0.17204189151525498,0.1248457546260457
ImageNette,quant-4,quant,4.0,IG,0.22980891719745222,0.30382945561672375,0.2692511361092329,0.28585556099812187,0.131406742061069
ImageNette,quant-4,quant,4.0,GradCAM,0.22980891719745222,0.26242190449633856,0.2488204440266903,0.24208895344439346,0.11972093538107373
ImageNette,quant-4,quant,4.0,Occlusion,0.22980891719745222,0.051216994816722386,0.08335443388981124,0.055838773649278056,0.09765277326797218
ImageNette,quant-3,quant,3.0,Saliency,0.09910828025477707,0.09933134364491007,0.11313625584977369,0.15733117535710334,0.09999999829432607
ImageNette,quant-3,quant,3.0,IG,0.09910828025477707,0.29636634946794965,0.25674937951068083,0.28585556099812187,0.10000000162690724
ImageNette,quant-3,quant,3.0,GradCAM,0.09910828025477707,0.26242190449633856,0.2488204440266903,0.24208895344439346,0.10000008680398992
ImageNette,quant-3,quant,3.0,Occlusion,0.09910828025477707,-0.022654263154401853,-0.0068928523610035574,0.0350600349065644,0.09999999099863023
ImageNette,quant-2,quant,2.0,Saliency,0.10038216560509554,0.0,0.0,0.00478208334534429,0.10010064945866665
ImageNette,quant-2,quant,2.0,IG,0.10038216560509554,0.0,0.0,0.012886996718589217,0.10010064945866665
ImageNette,quant-2,quant,2.0,GradCAM,0.10038216560509554,0.0,0.0,6.7358264004724335e-06,0.10010064945866665
