dataset,scheme,kind,level,method,acc,spearman,pearson,ssim,deletion
CIFAR-10,baseline,baseline,32.0,Saliency,0.8142,1.0,1.0,1.0,0.25845040247784296
CIFAR-10,baseline,baseline,32.0,IG,0.8142,1.0,1.0,1.0,0.2449730621925382
CIFAR-10,baseline,baseline,32.0,GradCAM,0.8142,1.0,1.0,1.0,0.20059558468691552
CIFAR-10,baseline,baseline,32.0,Occlusion,0.8142,1.0,1.0,1.0,0.21365215520807113
CIFAR-10,quant-8,quant,8.0,Saliency,0.8122,0.8973943566568677,0.9461857487758001,0.9416908353567124,0.2617402052705463
CIFAR-10,quant-8,quant,8.0,IG,0.8122,0.973789242940595,0.9903349091609319,0.9892455826203028,0.23666834314445953
CIFAR-10,quant-8,quant,8.0,GradCAM,0.8122,0.998436809756481,0.9992432912190755,0.9990250100692113,0.1984699722380942
CIFAR-10,quant-8,quant,8.0,Occlusion,0.8122,0.9913447020832425,0.9980207512776057,0.9967329164346059,0.21278772332291232
CIFAR-10,quant-6,quant,6.0,Saliency,0.8044,0.7100077341153616,0.8060082207123439,0.7897673726081849,0.24238482453651103
CIFAR-10,quant-6,quant,6.0,IG,0.8044,0.8764843386166467,0.9337595621744792,0.9252845843633016,0.20603886009575342
CIFAR-10,quant-6,quant,6.0,GradCAM,0.8044,0.9850099298137734,0.9897130489349365,0.9875990122556686,0.2058135344051529
CIFAR-10,quant-6,quant,6.0,Occlusion,0.8044,0.958008013445742,0.9724383900562922,0.9626066933075587,0.2201404658276718
CIFAR-10,quant-5,quant,5.0,Saliency,0.79,0.5703088697250007,0.680003892381986,0.6686872998873393,0.25209741679670994
CIFAR-10,quant-5,quant,5.0,IG,0.79,0.7633773396861503,0.8481581489245097,0.836298422018687,0.238347118950007
CIFAR-10,quant-5,quant,5.0,GradCAM,0.79,0.9389965249230883,0.9505591303110122,0.9378030747175217,0.1831630497646683
CIFAR-10,quant-5,quant,5.0,Occlusion,0.79,0.8767410931117591,0.8565494741002718,0.809976767996947,0.19319366121858453
CIFAR-10,quant-4,quant,4.0,Saliency,0.7207,0.3690868643056105,0.4374883641799291,0.4312493671973546,0.20938956961347535
CIFAR-10,quant-4,quant,4.0,IG,0.7207,0.5786201428304852,0.6511368870735168,0.6354743738969167,0.2097090221665236
CIFAR-10,quant-4,quant,4.0,GradCAM,0.7207,0.8192891421432739,0.8310784896214803,0.7993392129739125,0.17977564480174185
CIFAR-10,quant-4,quant,4.0,Occlusion,0.7207,0.7118053558686668,0.6971521582454443,0.6521876490364472,0.1897931824235627
CIFAR-10,quant-3,quant,3.0,Saliency,0.2506,0.21577122843686716,0.22952530619998773,0.23678528231879076,0.10549209225145033
CIFAR-10,quant-3,quant,3.0,IG,0.2506,0.38221053902843294,0.3909960476060708,0.3770045340061188,0.11373345743670601
CIFAR-10,quant-3,quant,3.0,GradCAM,0.2506,0.41359736723056567,0.4100673118295769,0.3345085561120262,0.06456431194824873
CIFAR-10,quant-3,quant,3.0,Occlusion,0.2506,0.236594703065022,0.18330671517178415,0.12946100716168682,0.0636632025708651
CIFAR-10,quant-2,quant,2.0,Saliency,0.0999,0.15237597938617217,0.13217651812980571,0.1440117514381806,0.10004239642625577
CIFAR-10,quant-2,quant,2.0,IG,0.0999,0.30794920063996506,0.26790755465626714,0.2690315200636784,0.09855176517667348
CIFAR-10,quant-2,quant,2.0,GradCAM,0.0999,0.0067110046548048375,-0.008294709135467808,-0.013016214990966547,0.10003495507695817
CIFAR-10,quant-2,quant,2.0,Occlusion,0.0999,0.007987698209494467,0.013956155565877756,0.017703812763405342,0.10000441688359334
CIFAR-10,prune-0.3,prune,0.3,Saliency,0.8077,0.797081943965109,0.8785750110944112,0.8700878848632176,0.2503631726947151
CIFAR-10,prune-0.3,prune,0.3,IG,0.8077,0.9201091350833424,0.9655222594738007,0.9612449079751968,0.2366418842214017
CIFAR-10,prune-0.3,prune,0.3,GradCAM,0.8077,0.9858865743682456,0.9898851652940114,0.9879340519507726,0.20175989823277904
CIFAR-10,prune-0.3,prune,0.3,Occlusion,0.8077,0.964139132358363,0.9719570348660151,0.9601996779441834,0.2229055497110584
CIFAR-10,prune-0.5,prune,0.5,Saliency,0.7963,0.6165497884464244,0.7321184605360032,0.716969472169876,0.2577097561458627
CIFAR-10,prune-0.5,prune,0.5,IG,0.7963,0.7769730203777491,0.8712977170944214,0.8597292164961498,0.2378977704261954
CIFAR-10,prune-0.5,prune,0.5,GradCAM,0.7963,0.9102313924376486,0.9241397415598234,0.9066403744121393,0.20531372539811388
CIFAR-10,prune-0.5,prune,0.5,Occlusion,0.7963,0.8799479141741459,0.8836031143863996,0.85274748057127,0.22410757098269746
CIFAR-10,prune-0.7,prune,0.7,Saliency,0.409,0.34863625404570714,0.43312369138002393,0.4263598491748174,0.17463551421044912
CIFAR-10,prune-0.7,prune,0.7,IG,0.409,0.4995123226276723,0.5643229568998019,0.5487455407778422,0.18484407210752873
CIFAR-10,prune-0.7,prune,0.7,GradCAM,0.409,0.5141303674250829,0.5090462695807219,0.43459297257982143,0.14803374685902276
CIFAR-10,prune-0.7,prune,0.7,Occlusion,0.409,0.477444843419366,0.5066748006269336,0.4309903723498186,0.12173777154501218
CIFAR-10,prune-0.8,prune,0.8,Saliency,0.1978,0.21433117501857404,0.24162819844981034,0.24607576988637447,0.1564705194779132
CIFAR-10,prune-0.8,prune,0.8,IG,0.1978,0.3622113667828863,0.3663769118487835,0.35824356575806937,0.15544450283239275
CIFAR-10,prune-0.8,prune,0.8,GradCAM,0.1978,0.2712018158819545,0.26123929920916755,0.22741494544763252,0.12453335050879431
CIFAR-10,prune-0.8,prune,0.8,Occlusion,0.1978,0.2587735234871485,0.27455898380527893,0.2192916394288962,0.11448691099270938
CIFAR-10,prune-0.9,prune,0.9,Saliency,0.1,0.09131629262905129,0.08241077068572243,0.09458436358642454,0.13689294897408472
CIFAR-10,prune-0.9,prune,0.9,IG,0.1,0.2779349470022003,0.24917725063860416,0.23938418055574098,0.1375359374270447
CIFAR-10,prune-0.9,prune,0.9,GradCAM,0.1,0.022145765849467775,0.015169607083468388,0.022942866247861578,0.1331180471204126
CIFAR-10,prune-0.9,prune,0.9,Occlusion,0.1,0.05409153647484485,0.0351203555582894,0.032650964443261425,0.13192925554645027
